,tweet,label
4734,roomie find baby birb spent morning take wildlife rescue meet edgar allan crowe,0
2769,wrong musical,1
3450,ever say something like ha funny,1
7345,day unemployment slept till noon stay late bingeing day fianc,0
8045,way ever part get middle seat southwest airline flight miss ed tyrell,0
482,ignore someone whose attention mean bad feel start think eat away,1
3751,sell first nft money day kinda seller remorse art awesome,0
16,hide cry want see strong person time though hate nobody notice break,1
1292,word mean shit anymore,1
3714,cool part parent far daughters best friend literally wait play sure someday soon kimberly becca take throne reign supreme,0
1901,coronavirus bullshit cancel therapy session week die,1
1950,much shit go,1
7709,imagine slow netflix stream must quarantine pandemic,0
1468,happen,1
5468,never confuse enthusiasm capability general schumacher,0
2816,course know want,1
6996,thankful yahoonews conversation final season fixmylife teach opportunity future,0
3830,great launch program could quit fang job year thousand engineer die desk bore cog machine pay benefit take gap year ship ship ship,0
7809,world shut fly london sat conversation rickygervais comedy meeting hero death,0
2693,fuck mean life,1
4928,impatience come need control need control come fear omar brownson obrownson,0
5017,worthwhile conversation start listen,0
1693,worth nothing,1
4260,woke someone impersonate instagram profile nursebaemax ig twitter onlyfans patreon please block report itsmebianca insta,0
7241,new mind matter meditation soothe heal mind iyanla vanzant available io android iyanla iyanlavanzant iyanlameditations mindmattersmeditations fixmylife iyanlafixmylife fearnot soothingmeditations guidedmeditations,0
4655,send love happy place earth,0
7962,holiday season give coworkers gift say get candle candle,0
4363,take ten whole month work cardiovascular icu nurse actually get take care patient hospitalize heart attack get lay lmao,0
1107,feel like wanted feeling like worthless even though alive feeling dead,1
5254,affect change inside organization must remember people resist change people fear change people like comfort status quo comfortable unknown,0
6521,forget defense mechanism use eliminate avoid pain escape route use fail honor commitment,0
2800,hear people talk honestly feel like another planet,1
3370,brb world fall short unrealistic expectation,1
5105,infinite game chapter amp book club simon,0
644,suicide stupid wan na know stupid hurt someone much emotionally think suicide answer,1
6653,join tonight spiritual spa build good boundary without boundary people may take advantage set limit expect treat register,0
6466,must surrender secret fear secret thought world surrender build trust life,0
5136,deck next week live online class sign,0
3465,vibe,1
8267,shave beard still mistake jason momoa,0
6938,get daily powerful coach iyanla soothe voice new updated awakening app awakeningsapp iyanla iyanlavanzant actsoffaith fixmylife iyanlaguidance spiritualguidance spiritualcoach dailyguidance dailyprinciples awakening,0
4529,play wow blood elf demon hunter one night aaaaand hook,0
6452,fear cloud opportunity erase possibility limit ability move beyond place mind stuck,0
8084,new study find safe city travel tokyo japan unless course dolphin,0
4371,happy league always grateful friend make experience start summoners rift,0
5139,true strength courage admit weakness,0
4468,two point gay,0
7930,love first week year gym pack people ll never see go back,0
2067,tired fight battle alone,1
5044,captain sully sullenberger land u airways airbus safely hudson river ceo venture capitalist ricelias flight share experience transform view business life listen anywhere get podcasts,0
5750,studio shoot new improve university findyourwhy,0
7494,think wandavision slowly build big reveal still know go,0
5864,really reach point tweet superimpose tv show discovery planecrash istherenorespite giveusabreak,0
1343,one ever expect,1
3198,understand people like live life,1
5023,arrogance think something perfect first draft humility know always room improvement,0
8004,sincerity sometimes actually say,0
6159,retired chess suppose stonewall useful league legend use bedroom apply type instrument,0
7142,start day see way would want see handle every responsibility peacefully effectively,0
951,never hold onto someone longer hold onto,1
8027,hey kid simple trick treat house like quinoa cluster,0
205,disappointed lot people year believe say one disappointed,1
1270,please get head,1
4779,okay guy anyone try pinch airport imteal close enough green right stpatricksday,0
844,lot reason give still choose stay lot reason stay chose give,1
677,fake friend easy find easy lose real friend hard find hard lose,1
7870,la croix look like art teacher become seltzer,0
3111,typical day look like forget password make new one,1
2834,maybe suppose ok,1
1001,think heal truth stop feel,1
5968,know darkness,0
4867,thanks join hour today super see many old friend make new one excite south park guy,0
5015,people inspire people inspire,0
7817,kevinnealon stop podcast interrupt constantly change subject waste everyone time,0
